mapping_type    icdo_code_mix   icdo_label_mix    ncit_id ncit_label  icdom_id    icdom_label icdot_id    icdot_label pgx_sample_example  pgx_example_link  pgx_sample_count
pgx code mix	icdom-80103~icdot-C15.9	Carcinoma, NOS (Esophagus, NOS)	NCIT:C3513	Esophageal Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C15.9	Esophagus, NOS	Esophageal Cancer	https://progenetix.org/services/ids/pgxbs-kftvkic3	97
pgx code mix	icdom-80103~icdot-C16.0	Carcinoma, NOS (Cardia, NOS)	NCIT:C6794	Gastric Cardia Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C16.0	Cardia, NOS	cardia cancer	https://progenetix.org/services/ids/pgxbs-kftvjpt4	2
pgx code mix	icdom-80103~icdot-C16.9	Carcinoma, NOS (Stomach, NOS)	NCIT:C4911	Gastric carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C16.9	Stomach, NOS	Mixed Cancer Types	https://progenetix.org/services/ids/pgxbs-kftvkteu	33
pgx code mix	icdom-80103~icdot-C17.9	Carcinoma, NOS (Small intestine, NOS)	NCIT:C7724	Small Intestinal Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C17.9	Small intestine, NOS	Small Bowel Cancer	https://progenetix.org/services/ids/pgxbs-kftvl9ta	33
pgx code mix	icdom-80103~icdot-C18.0	Carcinoma, NOS (Cecum)	NCIT:C3491	Cecum Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C18.0	Cecum	colon cancer	https://progenetix.org/services/ids/pgxbs-kftvkj6b	7
pgx code mix	icdom-80103~icdot-C18.4	Carcinoma, NOS (Transverse colon)	NCIT:C4910	Colon carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C18.4	Transverse colon	colon cancer	https://progenetix.org/services/ids/pgxbs-kftvkj5m	2
pgx code mix	icdom-80103~icdot-C18.7	Carcinoma, NOS (Sigmoid colon)	NCIT:C4910	Colon carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C18.7	Sigmoid colon	colon cancer	https://progenetix.org/services/ids/pgxbs-kftvkj6g	6
pgx code mix	icdom-80103~icdot-C18.9	Carcinoma, NOS (Colon, NOS)	NCIT:C2955	Colorectal carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C18.9	Colon, NOS	Mixed Cancer Types	https://progenetix.org/services/ids/pgxbs-kftvksm1	2
pgx code mix	icdom-80103~icdot-C18.9	Carcinoma, NOS (Colon, NOS)	NCIT:C4910	Colon carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C18.9	Colon, NOS	Mixed Cancer Types	https://progenetix.org/services/ids/pgxbs-kftvkt6k	220
pgx code mix	icdom-80103~icdot-C20.9	Carcinoma, NOS (Rectum, NOS)	NCIT:C9382	Rectal Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C20.9	Rectum, NOS	rectal cancer	https://progenetix.org/services/ids/pgxbs-kftvkjpg	15
pgx code mix	icdom-80103~icdot-C21.9	Carcinoma, NOS (anal canal and anus)	NCIT:C9291	Anal Carcinoma 	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C21.9	anal canal and anus	Carcinoma	https://progenetix.org/services/ids/pgxbs-kftvghh2	20
pgx code mix	icdom-80103~icdot-C22.0	Carcinoma, NOS (Liver)	NCIT:C7927	Liver and Intrahepatic Bile Duct Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C22.0	Liver	Hepatocellular Carcinoma	https://progenetix.org/services/ids/pgxbs-kftvk7p5	334
pgx code mix	icdom-80103~icdot-C23.9	Carcinoma, NOS (Gallbladder)	NCIT:C3844	Gallbladder Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C23.9	Gallbladder	Gallbladder Cancer	https://progenetix.org/services/ids/pgxbs-kftvla83	46
pgx code mix	icdom-80103~icdot-C24.1	Carcinoma, NOS (Ampulla of Vater)	NCIT:C3908	Ampulla of Vater Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C24.1	Ampulla of Vater	Ampullary Carcinoma	https://progenetix.org/services/ids/pgxbs-kftvla60	25
pgx code mix	icdom-80103~icdot-C25.9	Carcinoma, NOS (Pancreas, NOS)	NCIT:C3850	Pancreatic carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C25.9	Pancreas, NOS	Mixed Cancer Types	https://progenetix.org/services/ids/pgxbs-kftvkt5d	12
pgx code mix	icdom-80103~icdot-C34.9	Carcinoma, NOS (Lung, NOS)	NCIT:C35875	Bronchogenic carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C34.9	Lung, NOS	Mixed Cancer Types	https://progenetix.org/services/ids/pgxbs-kftvkscv	1
pgx code mix	icdom-80103~icdot-C34.9	Carcinoma, NOS (Lung, NOS)	NCIT:C45540	Lung Sarcomatoid Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C34.9	Lung, NOS	Sarcomatoid Carcinoma of the Lung	https://progenetix.org/services/ids/pgxbs-kftvl9x9	15
pgx code mix	icdom-80103~icdot-C34.9	Carcinoma, NOS (Lung, NOS)	NCIT:C4878	Lung Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C34.9	Lung, NOS	lung carcinoma [primary]	https://progenetix.org/services/ids/pgxbs-khv36qg7	164
pgx code mix	icdom-80103~icdot-C48.9	Carcinoma, NOS (retroperitoneum and peritoneum)	NCIT:C40022	Primary Peritoneal Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C48.9	retroperitoneum and peritoneum	primary peritoneal carcinomatosis	https://progenetix.org/services/ids/pgxbs-kftvhe0e	2
pgx code mix	icdom-80103~icdot-C50.9	Carcinoma, NOS (Breast, NOS)	NCIT:C4872	Breast Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C50.9	Breast, NOS	breast cancer	https://progenetix.org/services/ids/pgxbs-kg6kqzbx	872
pgx code mix	icdom-80103~icdot-C50.9	Carcinoma, NOS (Breast, NOS)	NCIT:C71732	Triple-Negative Breast Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C50.9	Breast, NOS	Triple negative breast carcinoma	https://progenetix.org/services/ids/pgxbs-kftvkj1q	401
pgx code mix	icdom-80103~icdot-C51.9	Carcinoma, NOS (Vulva, NOS)	NCIT:C4866	Vulvar carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C51.9	Vulva, NOS	C51;Carcinoma	https://progenetix.org/services/ids/pgxbs-kftvkmbl	2
pgx code mix	icdom-80103~icdot-C53.9	Carcinoma, NOS (Cervix uteri)	NCIT:C9039	Cervical Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C53.9	Cervix uteri	Mixed Cervical Carcinoma	https://progenetix.org/services/ids/pgxbs-kftvl7e8	17
pgx code mix	icdom-80103~icdot-C54.1	Carcinoma, NOS (Endometrium)	NCIT:C7558	Endometrial Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C54.1	Endometrium	Uterine Mixed Endometrial Carcinoma	https://progenetix.org/services/ids/pgxbs-kftvla66	23
pgx code mix	icdom-80103~icdot-C54.9	Carcinoma, NOS (Corpus uteri)	NCIT:C27838	Endometrial Serous Adenocarcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C54.9	Corpus uteri	Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma	https://progenetix.org/services/ids/pgxbs-kftvl9dx	47
pgx code mix	icdom-80103~icdot-C56.9	Carcinoma, NOS (Ovary)	NCIT:C4381	Ovarian Epithelial Tumor	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C56.9	Ovary	Ovarian Epithelial Tumor	https://progenetix.org/services/ids/pgxbs-kftvkzqb	1
pgx code mix	icdom-80103~icdot-C56.9	Carcinoma, NOS (Ovary)	NCIT:C4908	Ovarian Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C56.9	Ovary	Ovarian Cancer, Other	https://progenetix.org/services/ids/pgxbs-kftvkyuy	1095
pgx code mix	icdom-80103~icdot-C57.0	Carcinoma, NOS (Fallopian tube)	NCIT:C3867	Fallopian Tube Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C57.0	Fallopian tube	Fallopian tube carcinoma	https://progenetix.org/services/ids/pgxbs-kftvihz0	15
pgx code mix	icdom-80103~icdot-C57.9	Carcinoma, NOS (Female genital tract, NOS)	NCIT:C2916	Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C57.9	Female genital tract, NOS	Carcinoma	https://progenetix.org/services/ids/pgxbs-kftva69p	12
pgx code mix	icdom-80103~icdot-C61.9	Carcinoma, NOS (Prostate gland)	NCIT:C4863	Prostate Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C61.9	Prostate gland	Castration-Resistant Prostate Cancer	https://progenetix.org/services/ids/pgxbs-kftvlagt	144
pgx code mix	icdom-80103~icdot-C64.9	Carcinoma, NOS (Kidney, NOS)	NCIT:C27892	Unclassified Renal Cell Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C64.9	Kidney, NOS	unclassified Renal Cell Carcinoma	https://progenetix.org/services/ids/pgxbs-kg6kr47a	1
pgx code mix	icdom-80103~icdot-C64.9	Carcinoma, NOS (Kidney, NOS)	NCIT:C39807	Mucinous Tubular and Spindle Cell Carcinoma of the Kidney	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C64.9	Kidney, NOS	Renal Mucinous Tubular Spindle Cell Carcinoma	https://progenetix.org/services/ids/pgxbs-kftvla8b	5
pgx code mix	icdom-80103~icdot-C64.9	Carcinoma, NOS (Kidney, NOS)	NCIT:C6975	Papillary Renal Cell Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C64.9	Kidney, NOS	Papillary Renal Cell Carcinoma	https://progenetix.org/services/ids/pgxbs-kftvl9uv	33
pgx code mix	icdom-80103~icdot-C64.9	Carcinoma, NOS (Kidney, NOS)	NCIT:C9384	Kidney Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C64.9	Kidney, NOS	transformed cell line HK-2	https://progenetix.org/services/ids/pgxbs-kftvj3lf	1
pgx code mix	icdom-80103~icdot-C67.0	Carcinoma, NOS (Trigone of bladder)	NCIT:C4912	Bladder carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C67.0	Trigone of bladder	Mixed Cancer Types	https://progenetix.org/services/ids/pgxbs-kftvktg7	40
pgx code mix	icdom-80103~icdot-C67.9	Carcinoma, NOS (Bladder, NOS)	NCIT:C39851	Bladder Urothelial Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C67.9	Bladder, NOS	Bladder Urothelial Carcinoma	https://progenetix.org/services/ids/pgxbs-kftvl9xe	525
pgx code mix	icdom-80103~icdot-C67.9	Carcinoma, NOS (Bladder, NOS)	NCIT:C4912	Bladder Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C67.9	Bladder, NOS	Primary Tumor	https://progenetix.org/services/ids/pgxbs-kftvhm9f	1
pgx code mix	icdom-80103~icdot-C67.9	Carcinoma, NOS (Bladder, NOS)	NCIT:C7899	Recurrent bladder carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C67.9	Bladder, NOS	Mixed Cancer Types	https://progenetix.org/services/ids/pgxbs-kftvksne	3
pgx code mix	icdom-80103~icdot-C72.9	Carcinoma, NOS (Nervous system, NOS)	NCIT:C4627	Malignant Central Nervous System Neoplasm	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C72.9	Nervous system, NOS	central nervous system cancer	https://progenetix.org/services/ids/pgxbs-kftvkjwl	3
pgx code mix	icdom-80103~icdot-C73.9	Carcinoma, NOS (Thyroid gland)	NCIT:C4815	Thyroid Gland Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C73.9	Thyroid gland	thyroid carcinoma	https://progenetix.org/services/ids/pgxbs-kftvk6qq	39
pgx code mix	icdom-80103~icdot-C75.0	Carcinoma, NOS (Parathyroid gland)	NCIT:C4906	Parathyroid Gland Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C75.0	Parathyroid gland	carcinoma	https://progenetix.org/services/ids/pgxbs-kftva633	10
pgx code mix	icdom-80103~icdot-C76.0	Carcinoma, NOS (Head, face or neck, NOS)	NCIT:C35850	Head and Neck Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C76.0	Head, face or neck, NOS	Head and Neck Carcinoma, Other	https://progenetix.org/services/ids/pgxbs-kftvl6wv	2
pgx code mix	icdom-80103~icdot-C80.9	Carcinoma, NOS (Unknown primary site)	NCIT:C3812	Carcinoma of Unknown Primary	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C80.9	Unknown primary site	Mixed Cancer Types	https://progenetix.org/services/ids/pgxbs-kftvl9ob	16
primary ICD-O M	icdom-80106	Carcinoma, metastatic, NOS	NCIT:C3482	Metastatic Carcinoma			pgx:icdom-80106	Carcinoma, metastatic, NOS			190
pgx code mix	icdom-80106~icdot-C18.0	Carcinoma, metastatic, NOS (Cecum)	NCIT:C156097	Metastatic Colon Carcinoma	pgx:icdom-80106	Carcinoma, metastatic, NOS	pgx:icdot-C18.0	Cecum	metastatic colon cancer	https://progenetix.org/services/ids/pgxbs-kftvkj66	8
pgx code mix	icdom-80106~icdot-C18.4	Carcinoma, metastatic, NOS (Transverse colon)	NCIT:C156097	Metastatic Colon Carcinoma	pgx:icdom-80106	Carcinoma, metastatic, NOS	pgx:icdot-C18.4	Transverse colon	metastatic colon cancer	https://progenetix.org/services/ids/pgxbs-kftvkj5q	1
pgx code mix	icdom-80106~icdot-C18.7	Carcinoma, metastatic, NOS (Sigmoid colon)	NCIT:C156097	Metastatic Colon Carcinoma	pgx:icdom-80106	Carcinoma, metastatic, NOS	pgx:icdot-C18.7	Sigmoid colon	metastatic colon cancer	https://progenetix.org/services/ids/pgxbs-kftvkj6z	9
pgx code mix	icdom-80106~icdot-C18.9	Carcinoma, metastatic, NOS (Colon, NOS)	NCIT:C3482	Metastatic Carcinoma	pgx:icdom-80106	Carcinoma, metastatic, NOS	pgx:icdot-C18.9	Colon, NOS	colorectal cancer [liver metastasis]	https://progenetix.org/services/ids/pgxbs-kftvke1q	17
pgx code mix	icdom-80106~icdot-C22.0	Carcinoma, metastatic, NOS (Liver)	NCIT:C154091	metastatic hepatocellular carcinoma	pgx:icdom-80106	Carcinoma, metastatic, NOS	pgx:icdot-C22.0	Liver	metastatic hepatocellular carcinoma	https://progenetix.org/services/ids/pgxbs-kftvkjww	1
pgx code mix	icdom-80106~icdot-C50.9	Carcinoma, metastatic, NOS (Breast, NOS)	NCIT:C153238	Metastatic Breast Carcinoma	pgx:icdom-80106	Carcinoma, metastatic, NOS	pgx:icdot-C50.9	Breast, NOS	metastatic breast cancer	https://progenetix.org/services/ids/pgxbs-kftvkj3l	6
pgx code mix	icdom-80106~icdot-C61.9	Carcinoma, metastatic, NOS (Prostate gland)	NCIT:C8946	Metastatic Prostate Carcinoma	pgx:icdom-80106	Carcinoma, metastatic, NOS	pgx:icdot-C61.9	Prostate gland	prostate cancer [liver metastasis]	https://progenetix.org/services/ids/pgxbs-kftvki36	2
pgx code mix	icdom-80106~icdot-C80.9	Carcinoma, metastatic, NOS (Unknown primary site)	NCIT:C8566	Metastatic Malignant Neoplasm of Unknown Primary	pgx:icdom-80106	Carcinoma, metastatic, NOS	pgx:icdot-C80.9	Unknown primary site	Cancer of Unknown Primary	https://progenetix.org/services/ids/pgxbs-kftvl9wr	146
primary ICD-O M	icdom-80109	Carcinomatosis	NCIT:C3693	Carcinomatosis			pgx:icdom-80109	Carcinomatosis			0
primary ICD-O M	icdom-80110	Epithelioma, benign	NCIT:C4092	Benign Epithelial Neoplasm			pgx:icdom-80110	Epithelioma, benign			0
primary ICD-O M	icdom-80113	Epithelioma, malignant					pgx:icdom-80113	Epithelioma, malignant			0
primary ICD-O M	icdom-80123	Large cell carcinoma, NOS	NCIT:C3780	Large Cell Carcinoma			pgx:icdom-80123	Large cell carcinoma, NOS			138
pgx code mix	icdom-80123~icdot-C34.9	Large cell carcinoma, NOS (Lung, NOS)	NCIT:C4450	Lung Large Cell Carcinoma	pgx:icdom-80123	Large cell carcinoma, NOS	pgx:icdot-C34.9	Lung, NOS	Large Cell Lung Carcinoma	https://progenetix.org/services/ids/pgxbs-kftvkzsb	138
primary ICD-O M	icdom-80133	Large cell neuroendocrine carcinoma	NCIT:C6875	Large Cell Neuroendocrine Carcinoma			pgx:icdom-80133	Large cell neuroendocrine carcinoma			128
pgx code mix	icdom-80133~icdot-C34.9	Large cell neuroendocrine carcinoma (Lung, NOS)	NCIT:C5672	Lung Large Cell Neuroendocrine Carcinoma	pgx:icdom-80133	Large cell neuroendocrine carcinoma	pgx:icdot-C34.9	Lung, NOS	Large Cell Neuroendocrine Carcinoma	https://progenetix.org/services/ids/pgxbs-kftvlaps	127
pgx code mix	icdom-80133~icdot-C50.9	Large cell neuroendocrine carcinoma (Breast, NOS)	NCIT:C6875	Large Cell Neuroendocrine Carcinoma	pgx:icdom-80133	Large cell neuroendocrine carcinoma	pgx:icdot-C50.9	Breast, NOS	Primary Tumor	https://progenetix.org/services/ids/pgxbs-kftvi55a	1
primary ICD-O M	icdom-80143	Large cell carcinoma with rhabdoid phenotype	NCIT:C6876	Large Cell Lung Carcinoma with Rhabdoid Phenotype			pgx:icdom-80143	Large cell carcinoma with rhabdoid phenotype			0
primary ICD-O M	icdom-80153	Glassy cell carcinoma	NCIT:C65159	Glassy Cell Carcinoma			pgx:icdom-80153	Glassy cell carcinoma			0
primary ICD-O M	icdom-80203	Carcinoma, undifferentiated, NOS	NCIT:C3692	Undifferentiated Carcinoma			pgx:icdom-80203	Carcinoma, undifferentiated, NOS			31
pgx code mix	icdom-80203~icdot-C16.8	Carcinoma, undifferentiated, NOS (Overlapping lesion of stomach)	NCIT:C5476	Gastric Undifferentiated Carcinoma	pgx:icdom-80203	Carcinoma, undifferentiated, NOS	pgx:icdot-C16.8	Overlapping lesion of stomach	Poorly Differentiated Carcinoma of the Stomach	https://progenetix.org/services/ids/pgxbs-kftvl8ce	5
pgx code mix	icdom-80203~icdot-C25.0	Carcinoma, undifferentiated, NOS (Head of pancreas)	NCIT:C3692	Undifferentiated Carcinoma	pgx:icdom-80203	Carcinoma, undifferentiated, NOS	pgx:icdot-C25.0	Head of pancreas	Primary Tumor	https://progenetix.org/services/ids/pgxbs-kftvi4ml	1
pgx code mix	icdom-80203~icdot-C25.9	Carcinoma, undifferentiated, NOS (Pancreas, NOS)	NCIT:C5722	Pancreatic Undifferentiated Carcinoma	pgx:icdom-80203	Carcinoma, undifferentiated, NOS	pgx:icdot-C25.9	Pancreas, NOS	Undifferentiated Carcinoma of the Pancreas	https://progenetix.org/services/ids/pgxbs-kftvl8v1	4
pgx code mix	icdom-80203~icdot-C30.0	Carcinoma, undifferentiated, NOS (Nasal cavity)	NCIT:C54294	Sinonasal Undifferentiated Carcinoma	pgx:icdom-80203	Carcinoma, undifferentiated, NOS	pgx:icdot-C30.0	Nasal cavity	Sinonasal Undifferentiated Carcinoma	https://progenetix.org/services/ids/pgxbs-kftvl7id	2
